"item";"a";"b";"c";"p_valor_ajuste";"infit";"outfit";"ajuste_status"
"Q1";1;-0,0192;0;NA;NA;NA;"NAO_AVALIADO"
"Q2";1;-0,4329;0;NA;NA;NA;"NAO_AVALIADO"
"Q3";1;0,9731;0;NA;NA;NA;"NAO_AVALIADO"
"Q4";1;-0,3108;0;NA;NA;NA;"NAO_AVALIADO"
"Q5";1;-1,4773;0;NA;NA;NA;"NAO_AVALIADO"
"Q6";1;-0,0341;0;NA;NA;NA;"NAO_AVALIADO"
"Q7";1;-0,9829;0;NA;NA;NA;"NAO_AVALIADO"
"Q8";1;-1,4442;0;NA;NA;NA;"NAO_AVALIADO"
"Q9";1;-0,1681;0;NA;NA;NA;"NAO_AVALIADO"
"Q10";1;0,5406;0;NA;NA;NA;"NAO_AVALIADO"
"Q11";1;-0,6211;0;NA;NA;NA;"NAO_AVALIADO"
"Q12";1;-0,4716;0;NA;NA;NA;"NAO_AVALIADO"
"Q13";1;0,5328;0;NA;NA;NA;"NAO_AVALIADO"
"Q14";1;-1,7666;0;NA;NA;NA;"NAO_AVALIADO"
"Q15";1;0,6845;0;NA;NA;NA;"NAO_AVALIADO"
"Q16";1;-0,7101;0;NA;NA;NA;"NAO_AVALIADO"
"Q17";1;0,0476;0;NA;NA;NA;"NAO_AVALIADO"
"Q18";1;-1,0098;0;NA;NA;NA;"NAO_AVALIADO"
"Q19";1;0,4009;0;NA;NA;NA;"NAO_AVALIADO"
"Q20";1;0,6602;0;NA;NA;NA;"NAO_AVALIADO"
"Q21";1;0,636;0;NA;NA;NA;"NAO_AVALIADO"
"Q22";1;-0,534;0;NA;NA;NA;"NAO_AVALIADO"
"Q23";1;0,2342;0;NA;NA;NA;"NAO_AVALIADO"
"Q24";1;-0,5183;0;NA;NA;NA;"NAO_AVALIADO"
"Q25";1;0,1817;0;NA;NA;NA;"NAO_AVALIADO"
"Q26";1;-1,4773;0;NA;NA;NA;"NAO_AVALIADO"
"Q27";1;-0,364;0;NA;NA;NA;"NAO_AVALIADO"
"Q28";1;-0,2882;0;NA;NA;NA;"NAO_AVALIADO"
"Q29";1;-0,7265;0;NA;NA;NA;"NAO_AVALIADO"
"Q30";1;-0,6613;0;NA;NA;NA;"NAO_AVALIADO"
"Q31";1;-1,0098;0;NA;NA;NA;"NAO_AVALIADO"
"Q32";1;0,0625;0;NA;NA;NA;"NAO_AVALIADO"
"Q33";1;0,3627;0;NA;NA;NA;"NAO_AVALIADO"
"Q34";1;-0,7595;0;NA;NA;NA;"NAO_AVALIADO"
"Q35";1;-1,0737;0;NA;NA;NA;"NAO_AVALIADO"
