"id_candidato";"theta_gerado";"theta_estimado";"se_theta";"acertos";"percentual";"nota_enamed";"classificacao"
1;0,956;0,9182;0,2347;78;78;59,2;"REPROVADO"
2;-0,394;-0,202;0,2055;54;54;48;"REPROVADO"
3;0,2531;-0,0746;0,2067;57;57;49,3;"REPROVADO"
4;0,4412;0,7579;0,2279;75;75;57,6;"REPROVADO"
5;0,2818;0,3215;0,2138;66;66;53,2;"REPROVADO"
6;-0,0742;-0,202;0,2055;54;54;48;"REPROVADO"
7;1,0541;0,9182;0,2347;78;78;59,2;"REPROVADO"
8;-0,0662;-0,2442;0,2052;53;53;47,6;"REPROVADO"
9;1,4076;1,2105;0,2496;83;83;62,1;"LIMITE"
10;-0,0439;0,0113;0,2078;59;59;50,1;"REPROVADO"
11;0,9099;0,8637;0,2323;77;77;58,6;"REPROVADO"
12;1,5947;1,3388;0,2572;85;85;63,4;"LIMITE"
13;-0,9688;-0,4121;0,2047;49;49;45,9;"REPROVADO"
14;-0,1946;-0,2442;0,2052;53;53;47,6;"REPROVADO"
15;-0,0931;-0,1597;0,2058;55;55;48,4;"REPROVADO"
16;0,4434;0,414;0,2163;68;68;54,1;"REPROVADO"
17;-0,1984;-0,1172;0,2062;56;56;48,8;"REPROVADO"
18;-1,8529;-1,4271;0,2217;26;26;35,7;"REPROVADO"
19;-1,7023;-1,4767;0,2235;25;25;35,2;"REPROVADO"
20;0,9206;0,8637;0,2323;77;77;58,6;"REPROVADO"
21;-0,214;-0,0746;0,2067;57;57;49,3;"REPROVADO"
22;-1,2425;-1,2828;0,2171;29;29;37,2;"REPROVADO"
23;-0,12;-0,5799;0,2051;45;45;44,2;"REPROVADO"
24;0,847;0,7064;0,2259;74;74;57,1;"REPROVADO"
25;1,3217;1,0308;0,2401;80;80;60,3;"LIMITE"
26;-0,3004;-0,2442;0,2052;53;53;47,6;"REPROVADO"
27;-0,1796;-0,1597;0,2058;55;55;48,4;"REPROVADO"
28;-1,2299;-1,2828;0,2171;29;29;37,2;"REPROVADO"
29;0,3208;-0,0318;0,2072;58;58;49,7;"REPROVADO"
30;-0,4465;-0,4959;0,2048;47;47;45;"REPROVADO"
31;0,3175;0,0546;0,2085;60;60;50,5;"REPROVADO"
32;0,4914;0,2761;0,2128;65;65;52,8;"REPROVADO"
33;0,7218;0,1864;0,2108;63;63;51,9;"REPROVADO"
34;-0,4248;-0,6642;0,2056;43;43;43,4;"REPROVADO"
35;0,352;0,3675;0,215;67;67;53,7;"REPROVADO"
36;-1,1977;-1,236;0,2158;30;30;37,6;"REPROVADO"
37;-0,5473;-0,4959;0,2048;47;47;45;"REPROVADO"
38;-0,5936;-0,454;0,2047;48;48;45,5;"REPROVADO"
